파일명(MD),매칭된_노션출처(CSV),상태,사용된_매칭키
1998년(1999학년도) 경찰대학 고3공통 7월 5.md,1998년(1999학년도) 경찰대학 고3공통 7월 5,성공,1998년(1999학년도)경찰대학고3공통7월5
1998년(1999학년도) 경찰대학 고3공통 7월 6.md,1998년(1999학년도) 경찰대학 고3공통 7월 6,성공,1998년(1999학년도)경찰대학고3공통7월6
1998년(1999학년도) 경찰대학 고3공통 7월 7.md,1998년(1999학년도) 경찰대학 고3공통 7월 7,성공,1998년(1999학년도)경찰대학고3공통7월7
1998년(1999학년도) 경찰대학 고3공통 7월 8.md,1998년(1999학년도) 경찰대학 고3공통 7월 8,성공,1998년(1999학년도)경찰대학고3공통7월8
1998년(1999학년도) 경찰대학 고3공통 7월 9.md,1998년(1999학년도) 경찰대학 고3공통 7월 9,성공,1998년(1999학년도)경찰대학고3공통7월9
1999년(2000학년도) 경찰대학 고3공통 7월 1.md,1999년(2000학년도) 경찰대학 고3공통 7월 1,성공,1999년(2000학년도)경찰대학고3공통7월1
1999년(2000학년도) 경찰대학 고3공통 7월 10.md,1999년(2000학년도) 경찰대학 고3공통 7월 10,성공,1999년(2000학년도)경찰대학고3공통7월10
1999년(2000학년도) 경찰대학 고3공통 7월 11.md,1999년(2000학년도) 경찰대학 고3공통 7월 11,성공,1999년(2000학년도)경찰대학고3공통7월11
1999년(2000학년도) 경찰대학 고3공통 7월 12.md,1999년(2000학년도) 경찰대학 고3공통 7월 12,성공,1999년(2000학년도)경찰대학고3공통7월12
1999년(2000학년도) 경찰대학 고3공통 7월 13.md,1999년(2000학년도) 경찰대학 고3공통 7월 13,성공,1999년(2000학년도)경찰대학고3공통7월13
1999년(2000학년도) 경찰대학 고3공통 7월 14.md,1999년(2000학년도) 경찰대학 고3공통 7월 14,성공,1999년(2000학년도)경찰대학고3공통7월14
1999년(2000학년도) 경찰대학 고3공통 7월 15.md,1999년(2000학년도) 경찰대학 고3공통 7월 15,성공,1999년(2000학년도)경찰대학고3공통7월15
1999년(2000학년도) 경찰대학 고3공통 7월 16.md,1999년(2000학년도) 경찰대학 고3공통 7월 16,성공,1999년(2000학년도)경찰대학고3공통7월16
1999년(2000학년도) 경찰대학 고3공통 7월 17.md,1999년(2000학년도) 경찰대학 고3공통 7월 17,성공,1999년(2000학년도)경찰대학고3공통7월17
1999년(2000학년도) 경찰대학 고3공통 7월 18.md,1999년(2000학년도) 경찰대학 고3공통 7월 18,성공,1999년(2000학년도)경찰대학고3공통7월18
1999년(2000학년도) 경찰대학 고3공통 7월 19.md,1999년(2000학년도) 경찰대학 고3공통 7월 19,성공,1999년(2000학년도)경찰대학고3공통7월19
1999년(2000학년도) 경찰대학 고3공통 7월 2.md,1999년(2000학년도) 경찰대학 고3공통 7월 2,성공,1999년(2000학년도)경찰대학고3공통7월2
1999년(2000학년도) 경찰대학 고3공통 7월 20.md,1999년(2000학년도) 경찰대학 고3공통 7월 20,성공,1999년(2000학년도)경찰대학고3공통7월20
1999년(2000학년도) 경찰대학 고3공통 7월 21.md,1999년(2000학년도) 경찰대학 고3공통 7월 21,성공,1999년(2000학년도)경찰대학고3공통7월21
1999년(2000학년도) 경찰대학 고3공통 7월 22.md,1999년(2000학년도) 경찰대학 고3공통 7월 22,성공,1999년(2000학년도)경찰대학고3공통7월22
1999년(2000학년도) 경찰대학 고3공통 7월 3.md,1999년(2000학년도) 경찰대학 고3공통 7월 3,성공,1999년(2000학년도)경찰대학고3공통7월3
1999년(2000학년도) 경찰대학 고3공통 7월 4.md,1999년(2000학년도) 경찰대학 고3공통 7월 4,성공,1999년(2000학년도)경찰대학고3공통7월4
1999년(2000학년도) 경찰대학 고3공통 7월 5.md,1999년(2000학년도) 경찰대학 고3공통 7월 5,성공,1999년(2000학년도)경찰대학고3공통7월5
1999년(2000학년도) 경찰대학 고3공통 7월 6.md,1999년(2000학년도) 경찰대학 고3공통 7월 6,성공,1999년(2000학년도)경찰대학고3공통7월6
1999년(2000학년도) 경찰대학 고3공통 7월 7.md,1999년(2000학년도) 경찰대학 고3공통 7월 7,성공,1999년(2000학년도)경찰대학고3공통7월7
1999년(2000학년도) 경찰대학 고3공통 7월 8.md,1999년(2000학년도) 경찰대학 고3공통 7월 8,성공,1999년(2000학년도)경찰대학고3공통7월8
1999년(2000학년도) 경찰대학 고3공통 7월 9.md,1999년(2000학년도) 경찰대학 고3공통 7월 9,성공,1999년(2000학년도)경찰대학고3공통7월9
2000년(2001학년도) 경찰대학 고3공통 7월 1.md,2000년(2001학년도) 경찰대학 고3공통 7월 1,성공,2000년(2001학년도)경찰대학고3공통7월1
2000년(2001학년도) 경찰대학 고3공통 7월 10.md,2000년(2001학년도) 경찰대학 고3공통 7월 10,성공,2000년(2001학년도)경찰대학고3공통7월10
2000년(2001학년도) 경찰대학 고3공통 7월 11.md,2000년(2001학년도) 경찰대학 고3공통 7월 11,성공,2000년(2001학년도)경찰대학고3공통7월11
2000년(2001학년도) 경찰대학 고3공통 7월 12.md,2000년(2001학년도) 경찰대학 고3공통 7월 12,성공,2000년(2001학년도)경찰대학고3공통7월12
2000년(2001학년도) 경찰대학 고3공통 7월 13.md,2000년(2001학년도) 경찰대학 고3공통 7월 13,성공,2000년(2001학년도)경찰대학고3공통7월13
2000년(2001학년도) 경찰대학 고3공통 7월 14.md,2000년(2001학년도) 경찰대학 고3공통 7월 14,성공,2000년(2001학년도)경찰대학고3공통7월14
2000년(2001학년도) 경찰대학 고3공통 7월 15.md,2000년(2001학년도) 경찰대학 고3공통 7월 15,성공,2000년(2001학년도)경찰대학고3공통7월15
2000년(2001학년도) 경찰대학 고3공통 7월 16.md,2000년(2001학년도) 경찰대학 고3공통 7월 16,성공,2000년(2001학년도)경찰대학고3공통7월16
2000년(2001학년도) 경찰대학 고3공통 7월 17.md,2000년(2001학년도) 경찰대학 고3공통 7월 17,성공,2000년(2001학년도)경찰대학고3공통7월17
2000년(2001학년도) 경찰대학 고3공통 7월 18.md,2000년(2001학년도) 경찰대학 고3공통 7월 18,성공,2000년(2001학년도)경찰대학고3공통7월18
2000년(2001학년도) 경찰대학 고3공통 7월 19.md,2000년(2001학년도) 경찰대학 고3공통 7월 19,성공,2000년(2001학년도)경찰대학고3공통7월19
2000년(2001학년도) 경찰대학 고3공통 7월 2.md,2000년(2001학년도) 경찰대학 고3공통 7월 2,성공,2000년(2001학년도)경찰대학고3공통7월2
2000년(2001학년도) 경찰대학 고3공통 7월 20.md,2000년(2001학년도) 경찰대학 고3공통 7월 20,성공,2000년(2001학년도)경찰대학고3공통7월20
2000년(2001학년도) 경찰대학 고3공통 7월 3.md,2000년(2001학년도) 경찰대학 고3공통 7월 3,성공,2000년(2001학년도)경찰대학고3공통7월3
2000년(2001학년도) 경찰대학 고3공통 7월 4.md,2000년(2001학년도) 경찰대학 고3공통 7월 4,성공,2000년(2001학년도)경찰대학고3공통7월4
2000년(2001학년도) 경찰대학 고3공통 7월 5.md,2000년(2001학년도) 경찰대학 고3공통 7월 5,성공,2000년(2001학년도)경찰대학고3공통7월5
2000년(2001학년도) 경찰대학 고3공통 7월 6.md,2000년(2001학년도) 경찰대학 고3공통 7월 6,성공,2000년(2001학년도)경찰대학고3공통7월6
2000년(2001학년도) 경찰대학 고3공통 7월 7.md,2000년(2001학년도) 경찰대학 고3공통 7월 7,성공,2000년(2001학년도)경찰대학고3공통7월7
2000년(2001학년도) 경찰대학 고3공통 7월 8.md,2000년(2001학년도) 경찰대학 고3공통 7월 8,성공,2000년(2001학년도)경찰대학고3공통7월8
2000년(2001학년도) 경찰대학 고3공통 7월 9.md,2000년(2001학년도) 경찰대학 고3공통 7월 9,성공,2000년(2001학년도)경찰대학고3공통7월9
2001년(2002학년도) 경찰대학 고3공통 7월 1.md,2001년(2002학년도) 경찰대학 고3공통 7월 1,성공,2001년(2002학년도)경찰대학고3공통7월1
2001년(2002학년도) 경찰대학 고3공통 7월 10.md,2001년(2002학년도) 경찰대학 고3공통 7월 10,성공,2001년(2002학년도)경찰대학고3공통7월10
2001년(2002학년도) 경찰대학 고3공통 7월 11.md,2001년(2002학년도) 경찰대학 고3공통 7월 11,성공,2001년(2002학년도)경찰대학고3공통7월11
2001년(2002학년도) 경찰대학 고3공통 7월 12.md,2001년(2002학년도) 경찰대학 고3공통 7월 12,성공,2001년(2002학년도)경찰대학고3공통7월12
2001년(2002학년도) 경찰대학 고3공통 7월 13.md,2001년(2002학년도) 경찰대학 고3공통 7월 13,성공,2001년(2002학년도)경찰대학고3공통7월13
2001년(2002학년도) 경찰대학 고3공통 7월 14.md,2001년(2002학년도) 경찰대학 고3공통 7월 14,성공,2001년(2002학년도)경찰대학고3공통7월14
2001년(2002학년도) 경찰대학 고3공통 7월 15.md,2001년(2002학년도) 경찰대학 고3공통 7월 15,성공,2001년(2002학년도)경찰대학고3공통7월15
2001년(2002학년도) 경찰대학 고3공통 7월 16.md,2001년(2002학년도) 경찰대학 고3공통 7월 16,성공,2001년(2002학년도)경찰대학고3공통7월16
2001년(2002학년도) 경찰대학 고3공통 7월 17.md,2001년(2002학년도) 경찰대학 고3공통 7월 17,성공,2001년(2002학년도)경찰대학고3공통7월17
2001년(2002학년도) 경찰대학 고3공통 7월 18.md,2001년(2002학년도) 경찰대학 고3공통 7월 18,성공,2001년(2002학년도)경찰대학고3공통7월18
2001년(2002학년도) 경찰대학 고3공통 7월 19.md,2001년(2002학년도) 경찰대학 고3공통 7월 19,성공,2001년(2002학년도)경찰대학고3공통7월19
2001년(2002학년도) 경찰대학 고3공통 7월 2.md,2001년(2002학년도) 경찰대학 고3공통 7월 2,성공,2001년(2002학년도)경찰대학고3공통7월2
2001년(2002학년도) 경찰대학 고3공통 7월 20.md,2001년(2002학년도) 경찰대학 고3공통 7월 20,성공,2001년(2002학년도)경찰대학고3공통7월20
2001년(2002학년도) 경찰대학 고3공통 7월 21.md,2001년(2002학년도) 경찰대학 고3공통 7월 21,성공,2001년(2002학년도)경찰대학고3공통7월21
2001년(2002학년도) 경찰대학 고3공통 7월 22.md,2001년(2002학년도) 경찰대학 고3공통 7월 22,성공,2001년(2002학년도)경찰대학고3공통7월22
2001년(2002학년도) 경찰대학 고3공통 7월 23.md,2001년(2002학년도) 경찰대학 고3공통 7월 23,성공,2001년(2002학년도)경찰대학고3공통7월23
2001년(2002학년도) 경찰대학 고3공통 7월 24.md,2001년(2002학년도) 경찰대학 고3공통 7월 24,성공,2001년(2002학년도)경찰대학고3공통7월24
2001년(2002학년도) 경찰대학 고3공통 7월 3.md,2001년(2002학년도) 경찰대학 고3공통 7월 3,성공,2001년(2002학년도)경찰대학고3공통7월3
2001년(2002학년도) 경찰대학 고3공통 7월 4.md,2001년(2002학년도) 경찰대학 고3공통 7월 4,성공,2001년(2002학년도)경찰대학고3공통7월4
2001년(2002학년도) 경찰대학 고3공통 7월 5.md,2001년(2002학년도) 경찰대학 고3공통 7월 5,성공,2001년(2002학년도)경찰대학고3공통7월5
2001년(2002학년도) 경찰대학 고3공통 7월 6.md,2001년(2002학년도) 경찰대학 고3공통 7월 6,성공,2001년(2002학년도)경찰대학고3공통7월6
2001년(2002학년도) 경찰대학 고3공통 7월 7.md,2001년(2002학년도) 경찰대학 고3공통 7월 7,성공,2001년(2002학년도)경찰대학고3공통7월7
2001년(2002학년도) 경찰대학 고3공통 7월 8.md,2001년(2002학년도) 경찰대학 고3공통 7월 8,성공,2001년(2002학년도)경찰대학고3공통7월8
2001년(2002학년도) 경찰대학 고3공통 7월 9.md,2001년(2002학년도) 경찰대학 고3공통 7월 9,성공,2001년(2002학년도)경찰대학고3공통7월9
2001년(2002학년도) 사관학교 고3문과 7월 1 [2.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 1 [2.00점],성공,2001년(2002학년도)사관학교고37월1
2001년(2002학년도) 사관학교 고3문과 7월 10 [4.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 10 [4.00점],성공,2001년(2002학년도)사관학교고37월10
2001년(2002학년도) 사관학교 고3문과 7월 11 [3.00점].md,2001년(2002학년도) 사관학교 고3문과 7월 11 [3.00점],성공,2001년(2002학년도)사관학교고37월11
2001년(2002학년도) 사관학교 고3문과 7월 12 [3.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 12 [3.00점],성공,2001년(2002학년도)사관학교고37월12
2001년(2002학년도) 사관학교 고3문과 7월 13 [3.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 13 [3.00점],성공,2001년(2002학년도)사관학교고37월13
2001년(2002학년도) 사관학교 고3문과 7월 14 [3.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 14 [3.00점],성공,2001년(2002학년도)사관학교고37월14
2001년(2002학년도) 사관학교 고3문과 7월 15 [4.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 15 [4.00점],성공,2001년(2002학년도)사관학교고37월15
2001년(2002학년도) 사관학교 고3문과 7월 16 [4.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 16 [4.00점],성공,2001년(2002학년도)사관학교고37월16
2001년(2002학년도) 사관학교 고3문과 7월 17 [4.00점].md,2001년(2002학년도) 사관학교 고3문과 7월 17 [4.00점],성공,2001년(2002학년도)사관학교고37월17
2001년(2002학년도) 사관학교 고3문과 7월 18 [4.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 18 [4.00점],성공,2001년(2002학년도)사관학교고37월18
2001년(2002학년도) 사관학교 고3문과 7월 19 [4.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 19 [4.00점],성공,2001년(2002학년도)사관학교고37월19
2001년(2002학년도) 사관학교 고3문과 7월 2 [2.00점].md,2001년(2002학년도) 사관학교 고3문과 7월 2 [2.00점],성공,2001년(2002학년도)사관학교고37월2
2001년(2002학년도) 사관학교 고3문과 7월 20 [4.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 20 [4.00점],성공,2001년(2002학년도)사관학교고37월20
2001년(2002학년도) 사관학교 고3문과 7월 21 [4.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 21 [4.00점],성공,2001년(2002학년도)사관학교고37월21
2001년(2002학년도) 사관학교 고3문과 7월 22 [4.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 22 [4.00점],성공,2001년(2002학년도)사관학교고37월22
2001년(2002학년도) 사관학교 고3문과 7월 22 [4.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 22 [4.00점],성공,2001년(2002학년도)사관학교고37월22
2001년(2002학년도) 사관학교 고3문과 7월 23 [4.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 23 [4.00점],성공,2001년(2002학년도)사관학교고37월23
2001년(2002학년도) 사관학교 고3문과 7월 24 [4.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 24 [4.00점],성공,2001년(2002학년도)사관학교고37월24
2001년(2002학년도) 사관학교 고3문과 7월 25 [2.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 25 [2.00점],성공,2001년(2002학년도)사관학교고37월25
2001년(2002학년도) 사관학교 고3문과 7월 26 [4.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 26 [4.00점],성공,2001년(2002학년도)사관학교고37월26
2001년(2002학년도) 사관학교 고3문과 7월 27 [3.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 27 [3.00점],성공,2001년(2002학년도)사관학교고37월27
2001년(2002학년도) 사관학교 고3문과 7월 28 [4.00점].md,2001년(2002학년도) 사관학교 고3문과 7월 28 [4.00점],성공,2001년(2002학년도)사관학교고37월28
2001년(2002학년도) 사관학교 고3문과 7월 29 [4.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 29 [4.00점],성공,2001년(2002학년도)사관학교고37월29
2001년(2002학년도) 사관학교 고3문과 7월 3 [3.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 3 [3.00점],성공,2001년(2002학년도)사관학교고37월3
2001년(2002학년도) 사관학교 고3문과 7월 30 [2.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 30 [2.00점],성공,2001년(2002학년도)사관학교고37월30
2001년(2002학년도) 사관학교 고3문과 7월 4 [2.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 4 [2.00점],성공,2001년(2002학년도)사관학교고37월4
2001년(2002학년도) 사관학교 고3문과 7월 5 [3.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 5 [3.00점],성공,2001년(2002학년도)사관학교고37월5
2001년(2002학년도) 사관학교 고3문과 7월 6 [3.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 6 [3.00점],성공,2001년(2002학년도)사관학교고37월6
2001년(2002학년도) 사관학교 고3문과 7월 7 [3.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 7 [3.00점],성공,2001년(2002학년도)사관학교고37월7
2001년(2002학년도) 사관학교 고3문과 7월 8 [4.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 8 [4.00점],성공,2001년(2002학년도)사관학교고37월8
2001년(2002학년도) 사관학교 고3문과 7월 9 [3.00점] 이과.md,2001년(2002학년도) 사관학교 고3문과 7월 9 [3.00점],성공,2001년(2002학년도)사관학교고37월9
2001년(2002학년도) 사관학교 고3이과 7월 1 [2.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 1 [2.00점],성공,2001년(2002학년도)사관학교고37월1
2001년(2002학년도) 사관학교 고3이과 7월 10 [4.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 10 [4.00점],성공,2001년(2002학년도)사관학교고37월10
2001년(2002학년도) 사관학교 고3이과 7월 11 [4.00점].md,2001년(2002학년도) 사관학교 고3문과 7월 11 [3.00점],성공,2001년(2002학년도)사관학교고37월11
2001년(2002학년도) 사관학교 고3이과 7월 12 [3.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 12 [3.00점],성공,2001년(2002학년도)사관학교고37월12
2001년(2002학년도) 사관학교 고3이과 7월 13 [3.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 13 [3.00점],성공,2001년(2002학년도)사관학교고37월13
2001년(2002학년도) 사관학교 고3이과 7월 14 [3.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 14 [3.00점],성공,2001년(2002학년도)사관학교고37월14
2001년(2002학년도) 사관학교 고3이과 7월 15 [4.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 15 [4.00점],성공,2001년(2002학년도)사관학교고37월15
2001년(2002학년도) 사관학교 고3이과 7월 16 [4.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 16 [4.00점],성공,2001년(2002학년도)사관학교고37월16
2001년(2002학년도) 사관학교 고3이과 7월 17 [3.00점].md,2001년(2002학년도) 사관학교 고3문과 7월 17 [4.00점],성공,2001년(2002학년도)사관학교고37월17
2001년(2002학년도) 사관학교 고3이과 7월 18 [4.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 18 [4.00점],성공,2001년(2002학년도)사관학교고37월18
2001년(2002학년도) 사관학교 고3이과 7월 19 [4.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 19 [4.00점],성공,2001년(2002학년도)사관학교고37월19
2001년(2002학년도) 사관학교 고3이과 7월 2 [3.00점].md,2001년(2002학년도) 사관학교 고3문과 7월 2 [2.00점],성공,2001년(2002학년도)사관학교고37월2
2001년(2002학년도) 사관학교 고3이과 7월 20 [4.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 20 [4.00점],성공,2001년(2002학년도)사관학교고37월20
2001년(2002학년도) 사관학교 고3이과 7월 21 [4.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 21 [4.00점],성공,2001년(2002학년도)사관학교고37월21
2001년(2002학년도) 사관학교 고3이과 7월 23 [4.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 23 [4.00점],성공,2001년(2002학년도)사관학교고37월23
2001년(2002학년도) 사관학교 고3이과 7월 24 [4.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 24 [4.00점],성공,2001년(2002학년도)사관학교고37월24
2001년(2002학년도) 사관학교 고3이과 7월 25 [2.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 25 [2.00점],성공,2001년(2002학년도)사관학교고37월25
2001년(2002학년도) 사관학교 고3이과 7월 26 [4.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 26 [4.00점],성공,2001년(2002학년도)사관학교고37월26
2001년(2002학년도) 사관학교 고3이과 7월 27 [3.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 27 [3.00점],성공,2001년(2002학년도)사관학교고37월27
2001년(2002학년도) 사관학교 고3이과 7월 28 [3.00점].md,2001년(2002학년도) 사관학교 고3문과 7월 28 [4.00점],성공,2001년(2002학년도)사관학교고37월28
2001년(2002학년도) 사관학교 고3이과 7월 29 [4.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 29 [4.00점],성공,2001년(2002학년도)사관학교고37월29
2001년(2002학년도) 사관학교 고3이과 7월 3 [3.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 3 [3.00점],성공,2001년(2002학년도)사관학교고37월3
2001년(2002학년도) 사관학교 고3이과 7월 30 [2.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 30 [2.00점],성공,2001년(2002학년도)사관학교고37월30
2001년(2002학년도) 사관학교 고3이과 7월 4 [2.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 4 [2.00점],성공,2001년(2002학년도)사관학교고37월4
2001년(2002학년도) 사관학교 고3이과 7월 5 [3.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 5 [3.00점],성공,2001년(2002학년도)사관학교고37월5
2001년(2002학년도) 사관학교 고3이과 7월 6 [3.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 6 [3.00점],성공,2001년(2002학년도)사관학교고37월6
2001년(2002학년도) 사관학교 고3이과 7월 7 [3.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 7 [3.00점],성공,2001년(2002학년도)사관학교고37월7
2001년(2002학년도) 사관학교 고3이과 7월 8 [4.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 8 [4.00점],성공,2001년(2002학년도)사관학교고37월8
2001년(2002학년도) 사관학교 고3이과 7월 9 [3.00점] 문과.md,2001년(2002학년도) 사관학교 고3문과 7월 9 [3.00점],성공,2001년(2002학년도)사관학교고37월9
2002년 교육청 고1공통 11월 1.md,2002년 교육청 고1공통 11월 1,성공,2002년교육청고1공통11월1
2002년 교육청 고1공통 11월 10 [3.00점].md,2002년 교육청 고1공통 11월 10 [3.00점],성공,2002년교육청고1공통11월10
2002년 교육청 고1공통 11월 11 [3.00점].md,2002년 교육청 고1공통 11월 11 [3.00점],성공,2002년교육청고1공통11월11
2002년 교육청 고1공통 11월 12 [3.00점].md,2002년 교육청 고1공통 11월 12 [3.00점],성공,2002년교육청고1공통11월12
2002년 교육청 고1공통 11월 13 [3.00점].md,2002년 교육청 고1공통 11월 13 [3.00점],성공,2002년교육청고1공통11월13
2002년 교육청 고1공통 11월 14 [3.00점].md,2002년 교육청 고1공통 11월 14 [3.00점],성공,2002년교육청고1공통11월14
2002년 교육청 고1공통 11월 15 [3.00점].md,2002년 교육청 고1공통 11월 15 [3.00점],성공,2002년교육청고1공통11월15
2002년 교육청 고1공통 11월 16 [3.00점].md,2002년 교육청 고1공통 11월 16 [3.00점],성공,2002년교육청고1공통11월16
2002년 교육청 고1공통 11월 17 [3.00점].md,2002년 교육청 고1공통 11월 17 [3.00점],성공,2002년교육청고1공통11월17
2002년 교육청 고1공통 11월 18 [3.00점].md,2002년 교육청 고1공통 11월 18 [3.00점],성공,2002년교육청고1공통11월18
2002년 교육청 고1공통 11월 19 [3.00점].md,2002년 교육청 고1공통 11월 19 [3.00점],성공,2002년교육청고1공통11월19
2002년 교육청 고1공통 11월 2 [2.00점].md,2002년 교육청 고1공통 11월 2 [2.00점],성공,2002년교육청고1공통11월2
2002년 교육청 고1공통 11월 20 [3.00점].md,2002년 교육청 고1공통 11월 20 [3.00점],성공,2002년교육청고1공통11월20
2002년 교육청 고1공통 11월 21 [3.00점].md,2002년 교육청 고1공통 11월 21 [3.00점],성공,2002년교육청고1공통11월21
